source_business_domain,source_entity_type,destination_business_domain,destination_entity_type,relationship_name,cardinality
Finance,Legal Entity,Finance,GL Department,Has,0_*
Finance,GL Department,Finance,Legal Entity,Belongs To,1_*
Payroll,Pay Group,Payroll,Pay Calendar,Belongs To,1_1
Payroll,Pay Calendar,Payroll,Pay Group,Has,1_1
Finance,Legal Entity,Payroll,Pay Group,Has,0_*
Payroll,Pay Group,Finance,Legal Entity,Belongs To,1_1
